kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten_kota,kemendagri_nama_kabupaten_kota,tahun,bulan,jenis_stunting,jumlah,satuan
11,Aceh,11.71,Kota Banda Aceh,2022,Desember,wasting,553,jiwa
11,Aceh,11.72,Kota Sabang,2022,Desember,wasting,219,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2022,Desember,wasting,463,jiwa
11,Aceh,11.74,Kota Langsa,2022,Desember,wasting,68,jiwa
11,Aceh,11.75,Kota Subulussalam,2022,Desember,wasting,403,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Januari,wasting,386,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Januari,wasting,435,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Januari,wasting,1553,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Januari,wasting,327,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Januari,wasting,521,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Januari,wasting,2448,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Januari,wasting,1719,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Januari,wasting,1728,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Januari,wasting,517,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Januari,wasting,415,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Januari,wasting,861,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Januari,wasting,500,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Januari,wasting,270,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Januari,wasting,393,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Januari,wasting,388,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Januari,wasting,757,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Januari,wasting,374,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Januari,wasting,791,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Januari,wasting,446,jiwa
11,Aceh,11.72,Kota Sabang,2023,Januari,wasting,163,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Januari,wasting,437,jiwa
11,Aceh,11.74,Kota Langsa,2023,Januari,wasting,75,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Januari,wasting,452,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Februari,wasting,373,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Februari,wasting,535,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Februari,wasting,1713,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Februari,wasting,300,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Februari,wasting,494,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Februari,wasting,2785,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Februari,wasting,1637,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Februari,wasting,1700,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Februari,wasting,486,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Februari,wasting,432,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Februari,wasting,770,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Februari,wasting,503,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Februari,wasting,267,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Februari,wasting,360,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Februari,wasting,431,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Februari,wasting,716,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Februari,wasting,480,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Februari,wasting,741,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Februari,wasting,552,jiwa
11,Aceh,11.72,Kota Sabang,2023,Februari,wasting,181,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Februari,wasting,512,jiwa
11,Aceh,11.74,Kota Langsa,2023,Februari,wasting,68,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Februari,wasting,459,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Maret,wasting,228,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Maret,wasting,444,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Maret,wasting,1383,jiwa
